director_name,actor_2_name,actor_1_name,movie_title,actor_3_name
Lee Unkrich,John Ratzenberger,Tom Hanks,Toy Story 3 ,Don Rickles
McG,Bryce Dallas Howard,Christian Bale,Terminator Salvation ,Common
James Wan,Paul Walker,Jason Statham,Furious 7 ,Vin Diesel
Marc Forster,Brad Pitt,Peter Capaldi,World War Z ,Mireille Enos
Bryan Singer,Peter Dinklage,Jennifer Lawrence,X-Men: Days of Future Past ,Hugh Jackman
J.J. Abrams,Bruce Greenwood,Benedict Cumberbatch,Star Trek Into Darkness ,Noel Clarke
Bryan Singer,Ewen Bremner,Eddie Marsan,Jack the Giant Slayer ,Ralph Brown
Baz Luhrmann,Elizabeth Debicki,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley
Mike Newell,Richard Coyle,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,Reece Ritchie
Guillermo del Toro,Clifton Collins Jr.,Charlie Hunnam,Pacific Rim ,Larry Joe Campbell
Michael Bay,Lester Speight,Glenn Morshower,Transformers: Dark of the Moon ,Kevin Dunn
Steven Spielberg,Ray Winstone,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,Jim Broadbent
Peter Sohn,Jack McGraw,A.J. Buckley,The Good Dinosaur ,Peter Sohn
Mark Andrews,John Ratzenberger,Kelly Macdonald,Brave ,Julie Walters
Justin Lin,Melissa Roxburgh,Sofia Boutella,Star Trek Beyond ,Lydia Wilson
Andrew Stanton,Fred Willard,John Ratzenberger,WALL·E ,Jeff Garlin
Brett Ratner,Dana Ivey,Tzi Ma,Rush Hour 3 ,Noémie Lenoir
Roland Emmerich,Liam James,Oliver Platt,2012 ,Tom McCarthy
Robert Zemeckis,Colin Firth,Robin Wright,A Christmas Carol ,Gary Oldman
Lana Wachowski,Mila Kunis,Channing Tatum,Jupiter Ascending ,Eddie Redmayne
David Yates,Alexander Skarsgård,Christoph Waltz,The Legend of Tarzan ,Casper Crump
Andrew Adamson,Kiran Shah,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Shane Rangi
Bryan Singer,Michael Fassbender,Jennifer Lawrence,X-Men: Apocalypse ,Tye Sheridan
Christopher Nolan,Heath Ledger,Christian Bale,The Dark Knight ,Morgan Freeman
Pete Docter,Delroy Lindo,John Ratzenberger,Up ,Jess Harnell
Rob Letterman,Rainn Wilson,Amy Poehler,Monsters vs. Aliens ,Stephen Colbert
Jon Favreau,Jeff Bridges,Robert Downey Jr.,Iron Man ,Jon Favreau
Martin Scorsese,Christopher Lee,Chloë Grace Moretz,Hugo ,Ray Winstone
Barry Sonnenfeld,Salma Hayek,Will Smith,Wild Wild West ,Bai Ling
Rob Cohen,Brendan Fraser,Jet Li,The Mummy: Tomb of the Dragon Emperor ,Russell Wong
David Ayer,Robin Atkin Downes,Will Smith,Suicide Squad ,Ike Barinholtz
Tom Shadyac,Morgan Freeman,Jimmy Bennett,Evan Almighty ,Steve Carell
Doug Liman,Lara Pulver,Tom Cruise,Edge of Tomorrow ,Noah Taylor
Kevin Reynolds,Rick Aviles,Jeanne Tripplehorn,Waterworld ,Zakes Mokae
Stephen Sommers,Dennis Quaid,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,Leo Howard
Pete Docter,Mindy Kaling,Amy Poehler,Inside Out ,Phyllis Smith
Jon Favreau,Bill Murray,Scarlett Johansson,The Jungle Book ,Garry Shandling
Jon Favreau,Scarlett Johansson,Robert Downey Jr.,Iron Man 2 ,Jon Favreau
Rupert Sanders,Kristen Stewart,Chris Hemsworth,Snow White and the Huntsman ,Sam Claflin
Robert Stromberg,Sharlto Copley,Angelina Jolie Pitt,Maleficent ,Sam Riley
Matt Reeves,Judy Greer,Gary Oldman,Dawn of the Planet of the Apes ,Kodi Smit-McPhee
Roland Joffé,Alice Englert,Tamsin Egerton,The Lovers ,Bipasha Basu
Carl Rinsch,Cary-Hiroyuki Tagawa,Keanu Reeves,47 Ronin ,Jin Akanishi
Anthony Russo,Chris Evans,Scarlett Johansson,Captain America: The Winter Soldier ,Hayley Atwell
Mike Mitchell,Kathy Griffin,Jon Hamm,Shrek Forever After ,Mary Kay Place
Brad Bird,Chris Bauer,Judy Greer,Tomorrowland ,Thomas Robinson
Don Hall,Daniel Henney,Damon Wayans Jr.,Big Hero 6 ,Abraham Benrubi
Rich Moore,Sarah Silverman,Jack McBrayer,Wreck-It Ralph ,Joe Lo Truglio
Robert Zemeckis,Eddie Deezen,Tom Hanks,The Polar Express ,Peter Scolari
Roland Emmerich,Sela Ward,Vivica A. Fox,Independence Day: Resurgence ,Judd Hirsch
Dean DeBlois,America Ferrera,Gerard Butler,How to Train Your Dragon ,Craig Ferguson
Jonathan Mostow,M.C. Gainey,Nick Stahl,Terminator 3: Rise of the Machines ,Carolyn Hennesy
James Gunn,Vin Diesel,Bradley Cooper,Guardians of the Galaxy ,Djimon Hounsou
Christopher Nolan,Anne Hathaway,Matthew McConaughey,Interstellar ,Mackenzie Foy
Christopher Nolan,Tom Hardy,Leonardo DiCaprio,Inception ,Joseph Gordon-Levitt
Hideaki Anno,Shin'ya Tsukamoto,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda
Peter Jackson,Adam Brown,Aidan Turner,The Hobbit: An Unexpected Journey ,James Nesbitt
Rob Cohen,Vin Diesel,Paul Walker,The Fast and the Furious ,Jordana Brewster
David Fincher,Jason Flemyng,Brad Pitt,The Curious Case of Benjamin Button ,Julia Ormond
Matthew Vaughn,Michael Fassbender,Jennifer Lawrence,X-Men: First Class ,Oliver Platt
Francis Lawrence,Philip Seymour Hoffman,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,Josh Hutcherson
Jon Turteltaub,Omar Benson Miller,Nicolas Cage,The Sorcerer's Apprentice ,Robert Capron
Wolfgang Petersen,Mike Vogel,Jimmy Bennett,Poseidon ,Andre Braugher
James Bobin,Alan Rickman,Johnny Depp,Alice Through the Looking Glass ,Anne Hathaway
Chris Miller,Eric Idle,Justin Timberlake,Shrek the Third ,Rupert Everett
Duncan Jones,Callum Rennie,Dominic Cooper,Warcraft ,Ruth Negga
Alan Taylor,Emilia Clarke,J.K. Simmons,Terminator Genisys ,Matt Smith
Michael Apted,Shane Rangi,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Laura Brent
Michael Bay,Jaime King,Jennifer Garner,Pearl Harbor ,Mako
Michael Bay,Michael O'Neill,Zack Ward,Transformers ,Kevin Dunn
Oliver Stone,Angelina Jolie Pitt,Anthony Hopkins,Alexander ,Brian Blessed
David Yates,Daniel Radcliffe,Robert Pattinson,Harry Potter and the Order of the Phoenix ,Fiona Shaw
Mike Newell,Daniel Radcliffe,Robert Pattinson,Harry Potter and the Goblet of Fire ,Rupert Grint
Peter Berg,Charlize Theron,Will Smith,Hancock ,Eddie Marsan
Francis Lawrence,Alice Braga,Will Smith,I Am Legend ,Willow Smith
Tim Burton,Christopher Lee,Johnny Depp,Charlie and the Chocolate Factory ,David Kelly
Brad Bird,John Ratzenberger,Janeane Garofalo,Ratatouille ,Brian Dennehy
Christopher Nolan,Liam Neeson,Christian Bale,Batman Begins ,Morgan Freeman
Eric Darnell,Jada Pinkett Smith,Bernie Mac,Madagascar: Escape 2 Africa ,Cedric the Entertainer
Shawn Levy,Rami Malek,Robin Williams,Night at the Museum: Battle of the Smithsonian ,Steve Coogan
Gavin Hood,Ryan Reynolds,Hugh Jackman,X-Men Origins: Wolverine ,Dominic Monaghan
Lana Wachowski,Collin Chou,Essie Davis,The Matrix Revolutions ,Nona Gaye
Chris Buck,Maurice LaMarche,Josh Gad,Frozen ,Livvy Stubenrauch
Lana Wachowski,Daniel Bernhardt,Steve Bastoni,The Matrix Reloaded ,Helmut Bakaitis
Alan Taylor,Natalie Portman,Chris Hemsworth,Thor: The Dark World ,Anthony Hopkins
George Miller,Charlize Theron,Tom Hardy,Mad Max: Fury Road ,Zoë Kravitz
Ron Howard,Ayelet Zurer,Tom Hanks,Angels & Demons ,Armin Mueller-Stahl
Kenneth Branagh,Natalie Portman,Chris Hemsworth,Thor ,Anthony Hopkins
Byron Howard,Diedrich Bader,Chloë Grace Moretz,Bolt ,James Lipton
Hoyt Yeatman,Piper Mackenzie Harris,Kelli Garner,G-Force ,Niecy Nash
Jonathan Liebesman,Edgar Ramírez,Liam Neeson,Wrath of the Titans ,Lily James
Tim Burton,Chloë Grace Moretz,Johnny Depp,Dark Shadows ,Christopher Lee
Christopher McQuarrie,Jeremy Renner,Tom Cruise,Mission: Impossible - Rogue Nation ,Sean Harris
Joe Johnston,Simon Merrells,Anthony Hopkins,The Wolfman ,Art Malik
David Yates,Alexander Skarsgård,Christoph Waltz,The Legend of Tarzan ,Casper Crump
Steve Hickner,Oprah Winfrey,Matthew Broderick,Bee Movie ,Rip Torn
Jennifer Yuh Nelson,Gary Oldman,Angelina Jolie Pitt,Kung Fu Panda 2 ,Mike Bell
M. Night Shyamalan,Noah Ringer,Seychelle Gabriel,The Last Airbender ,Aasif Mandvi
J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Mission: Impossible III ,Eddie Marsan
Roland Emmerich,Jake Weber,Channing Tatum,White House Down ,Matt Craven
Simon Wells,Dan Fogler,Elisabeth Harnois,Mars Needs Moms ,Tom Everett Scott
David Bowers,Kate Winslet,Hugh Jackman,Flushed Away ,David Suchet
Joe Wright,Cara Delevingne,Hugh Jackman,Pan ,Nonso Anozie
Rob Minkoff,Zach Callison,Ty Burrell,Mr. Peabody & Sherman ,Karan Brar
Wolfgang Petersen,Orlando Bloom,Brad Pitt,Troy ,Julian Glover
Eric Darnell,Martin Short,Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted ,Cedric the Entertainer
Lee Tamahori,Colin Salmon,Toby Stephens,Die Another Day ,Rick Yune
Paul Feig,Kate McKinnon,Ed Begley Jr.,Ghostbusters ,Zach Woods
Michael Bay,Steve Buscemi,Bruce Willis,Armageddon ,Will Patton
Barry Sonnenfeld,Rosario Dawson,Will Smith,Men in Black II ,Rip Torn
Robert Zemeckis,Anthony Hopkins,Robin Wright,Beowulf ,Sebastian Roché
Alessandro Carloni,Angelina Jolie Pitt,J.K. Simmons,Kung Fu Panda 3 ,Wayne Knight
Brad Bird,Jeremy Renner,Tom Cruise,Mission: Impossible - Ghost Protocol ,Michael Nyqvist
Peter Ramsey,Kamil McFadden,Hugh Jackman,Rise of the Guardians ,Khamani Griffin
Dean Parisot,Richard Burgi,John Michael Higgins,Fun with Dick and Jane ,David Herman
Edward Zwick,Tony Goldwyn,Tom Cruise,The Last Samurai ,Chad Lindberg
Ridley Scott,María Valverde,Christian Bale,Exodus: Gods and Kings ,Ben Mendelsohn
J.J. Abrams,Leonard Nimoy,Chris Hemsworth,Star Trek ,Bruce Greenwood
Sam Raimi,James Franco,J.K. Simmons,Spider-Man ,Kirsten Dunst
Dean DeBlois,Djimon Hounsou,Gerard Butler,How to Train Your Dragon 2 ,America Ferrera
Alex Proyas,Elodie Yung,Gerard Butler,Gods of Egypt ,Bryan Brown
Rob Cohen,Joe Morton,Sam Shepard,Stealth ,Richard Roxburgh
Zack Snyder,Billy Crudup,Matt Frewer,Watchmen ,Stephen McHattie
Richard Donner,Rene Russo,Jet Li,Lethal Weapon 4 ,Darlene Love
Ang Lee,Regi Davis,Kevin Rankin,Hulk ,Celia Weston
Jon M. Chu,Dwayne Johnson,Channing Tatum,G.I. Joe: Retaliation ,Elodie Yung
Breck Eisner,Rainn Wilson,Matthew McConaughey,Sahara ,Delroy Lindo
Hironobu Sakaguchi,Ming-Na Wen,Steve Buscemi,Final Fantasy: The Spirits Within ,Jean Simmons
Joe Johnston,Dominic Cooper,Chris Evans,Captain America: The First Avenger ,Hayley Atwell
Michael Apted,Maria Grazia Cucinotta,Colin Salmon,The World Is Not Enough ,Desmond Llewelyn
Peter Weir,Lee Ingleby,James D'Arcy,Master and Commander: The Far Side of the World ,David Threlfall
Bill Condon,Kristen Stewart,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner
George Miller,Brad Pitt,Robin Williams,Happy Feet 2 ,Common
Louis Leterrier,Peter Mensah,Ty Burrell,The Incredible Hulk ,William Hurt
,,,,
Steven Spielberg,Penelope Wilton,Mark Rylance,The BFG ,Rafe Spall
Alejandro G. Iñárritu,Tom Hardy,Leonardo DiCaprio,The Revenant ,Lukas Haas
David Soren,Snoop Dogg,Ryan Reynolds,Turbo ,Ben Schwartz
Gore Verbinski,Ray Winstone,Johnny Depp,Rango ,Stephen Root
Eric Darnell,Annet Mahendru,Benedict Cumberbatch,Penguins of Madagascar ,Andy Richter
Paul Greengrass,Edgar Ramírez,Matt Damon,The Bourne Ultimatum ,Albert Finney
Mark Osborne,Wayne Knight,Angelina Jolie Pitt,Kung Fu Panda ,Dan Fogler
Peyton Reed,Hayley Atwell,Judy Greer,Ant-Man ,T.I.
Francis Lawrence,Josh Hutcherson,Jennifer Lawrence,The Hunger Games: Catching Fire ,Sandra Ellis Lafferty
Bill Condon,Kristen Stewart,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner
Tim Johnson,Matt Jones,Jim Parsons,Home ,April Winchell
Steven Spielberg,Lisa Ann Walter,Tom Cruise,War of the Worlds ,Rick Gonzalez
Michael Bay,Henry Rollins,Will Smith,Bad Boys II ,Jordi Mollà
Chris Miller,Constance Marie,Salma Hayek,Puss in Boots ,Amy Sedaris
Phillip Noyce,Andre Braugher,Angelina Jolie Pitt,Salt ,August Diehl
Darren Aronofsky,Emma Watson,Anthony Hopkins,Noah ,Logan Lerman
Steven Spielberg,Mackenzie Crook,Toby Jones,The Adventures of Tintin ,Tony Curran
Alfonso Cuarón,Gary Oldman,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,Rupert Grint
Baz Luhrmann,Bryan Brown,Essie Davis,Australia ,Eddie Baroo
M. Night Shyamalan,Zoë Kravitz,Will Smith,After Earth ,Glenn Morshower
Eric Leighton,D.B. Sweeney,Alfre Woodard,Dinosaur ,Della Reese
Matt Birch,Dave Legeno,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,Ralph Ineson
Shawn Levy,Rami Malek,Robin Williams,Night at the Museum: Secret of the Tomb ,Steve Coogan
Tom McGrath,Brad Pitt,J.K. Simmons,Megamind ,Will Ferrell
Chris Columbus,Fiona Shaw,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,Verne Troyer
Robert Schwentke,Jeff Bridges,Ryan Reynolds,R.I.P.D. ,Stephanie Szostak
Hideaki Anno,Shin'ya Tsukamoto,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda
Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,Jack Davenport
Matt Birch,Toby Jones,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,Alfred Enoch
Francis Lawrence,Philip Seymour Hoffman,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,Josh Hutcherson
Ron Howard,Seth Gabel,Tom Hanks,The Da Vinci Code ,Jürgen Prochnow
Carlos Saldanha,Rachel Crow,Miguel Ferrer,Rio 2 ,Jeffrey Garcia
Bryan Singer,Bruce Davison,Hugh Jackman,X-Men 2 ,Aaron Stanford
Justin Lin,Vin Diesel,Paul Walker,Fast Five ,Dwayne Johnson
Guy Ritchie,Eddie Marsan,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,Paul Anderson
Louis Leterrier,Jason Flemyng,Liam Neeson,Clash of the Titans ,Alexa Davalos
Paul Verhoeven,Rachel Ticotin,Ronny Cox,Total Recall ,Marshall Bell
John McTiernan,Vladimir Kulich,Tony Curran,The 13th Warrior ,Clive Russell
Tony Gilroy,Scott Glenn,Jeremy Renner,The Bourne Legacy ,Stacy Keach
Joel Schumacher,Vivica A. Fox,Michael Gough,Batman & Robin ,John Glover
Ron Howard,T.J. Thyne,Clint Howard,How the Grinch Stole Christmas ,Molly Shannon
Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,The Day After Tomorrow ,Sela Ward
John Woo,Dougray Scott,Tom Cruise,Mission: Impossible II ,Richard Roxburgh
Wolfgang Petersen,Mary Elizabeth Mastrantonio,Karen Allen,The Perfect Storm ,Bob Gunton
Tim Story,Ioan Gruffudd,Chris Evans,Fantastic 4: Rise of the Silver Surfer ,Andre Braugher
Ang Lee,Rafe Spall,Suraj Sharma,Life of Pi ,Tabu
Mark Steven Johnson,Matt Long,Nicolas Cage,Ghost Rider ,Peter Fonda
Paul Greengrass,Riz Ahmed,Matt Damon,Jason Bourne ,Ato Essandoh
McG,Bernie Mac,Demi Moore,Charlie's Angels: Full Throttle ,Justin Theroux
Ridley Scott,Charlize Theron,Michael Fassbender,Prometheus ,Sean Harris
Rob Minkoff,Brad Garrett,Nathan Lane,Stuart Little 2 ,Melanie Griffith
Neill Blomkamp,Sharlto Copley,Matt Damon,Elysium ,Alice Braga
David Twohy,Alexa Davalos,Vin Diesel,The Chronicles of Riddick ,Christina Cox
José Padilha,Abbie Cornish,Gary Oldman,RoboCop ,Jennifer Ehle
Lana Wachowski,Kick Gurry,Scott Porter,Speed Racer ,Nicholas Elia
James L. Brooks,Domenick Lombardozzi,Shelley Conn,How Do You Know ,Teyonah Parris
James Mangold,Marc Blucas,Tom Cruise,Knight and Day ,Jordi Mollà
Joseph Kosinski,Tom Cruise,Morgan Freeman,Oblivion ,Zoë Bell
George Lucas,Christopher Lee,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,Hayden Christensen
George Lucas,Christopher Lee,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,Hayden Christensen
Pete Docter,John Ratzenberger,Steve Buscemi,"Monsters, Inc. ",James Coburn
James Mangold,Tao Okamoto,Hugh Jackman,The Wolverine ,Rila Fukushima
George Lucas,Liam Neeson,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,Ian McDiarmid
Kirk De Micco,Emma Stone,Ryan Reynolds,The Croods ,Nicolas Cage
Frédéric Forestier,Santiago Segura,Alain Delon,Asterix at the Olympic Games ,Vanessa Hessler
John Woo,Roger Willie,Nicolas Cage,Windtalkers ,Noah Emmerich
Cedric Nicolas-Troyan,Sam Claflin,Chris Hemsworth,The Huntsman: Winter's War ,Charlize Theron
Jonathan Liebesman,Danny Woodburn,Noel Fisher,Teenage Mutant Ninja Turtles ,Jeremy Howard
Alfonso Cuarón,Basher Savage,Phaldut Sharma,Gravity ,Amy Warren
Roger Donaldson,Grant Heslov,Jamie Renée Smith,Dante's Peak ,Tzi Ma
Dave Green,Noel Fisher,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,Brad Garrett
Josh Trank,Reg E. Cathey,Tim Blake Nelson,Fantastic Four ,Tim Heidecker
Shawn Levy,Rami Malek,Robin Williams,Night at the Museum ,Steve Coogan
Brad Peyton,Ioan Gruffudd,Dwayne Johnson,San Andreas ,Archie Panjabi
Roger Spottiswoode,Colin Salmon,Vincent Schiavelli,Tomorrow Never Dies ,Joe Don Baker
Roland Emmerich,Adam Baldwin,Heath Ledger,The Patriot ,Tom Wilkinson
Steven Soderbergh,Julia Roberts,Brad Pitt,Ocean's Twelve ,Mini Anden
Doug Liman,Angelina Jolie Pitt,Brad Pitt,Mr. & Mrs. Smith ,Stephanie March
Robert Schwentke,Theo James,Kate Winslet,Insurgent ,Mekhi Phifer
Martin Scorsese,Adam Scott,Leonardo DiCaprio,The Aviator ,Frances Conroy
Rob Letterman,Catherine Tate,James Corden,Gulliver's Travels ,Olly Alexander
Michel Gondry,Tom Wilkinson,Christoph Waltz,The Green Hornet ,Chad L. Coleman
,,,,
Noam Murro,Sullivan Stapleton,Eva Green,300: Rise of an Empire ,Peter Mensah
Raja Gosnell,Tim Gunn,Mahadeo Shivraj,The Smurfs ,Madison McKinley
Will Finn,Roseanne Barr,Steve Buscemi,Home on the Range ,G.W. Bailey
Robert Schwentke,Theo James,Naomi Watts,Allegiant ,Zoë Kravitz
Shawn Levy,Torey Michael Adkins,Hugh Jackman,Real Steel ,Olga Fonda
Raja Gosnell,Nancy O'Dell,Jacob Tremblay,The Smurfs 2 ,Vanessa Matsui
Jan de Bont,Temuera Morrison,Jason Patric,Speed 2: Cruise Control ,Lois Chiles
Gavin Hood,Moises Arias,Harrison Ford,Ender's Game ,Aramis Knight
Len Wiseman,Jonathan Sadowski,Bruce Willis,Live Free or Die Hard ,Cyril Raffaelli
Peter Jackson,Orlando Bloom,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,Billy Boyd
Frank Coraci,Steve Coogan,Jim Broadbent,Around the World in 80 Days ,Cécile De France
Michael Mann,Jada Pinkett Smith,Will Smith,Ali ,Joe Morton
Bo Welch,Kelly Preston,Sean Hayes,The Cat in the Hat ,Spencer Breslin
Alex Proyas,Bruce Greenwood,Will Smith,"I, Robot ",Chi McBride
Ridley Scott,Orlando Bloom,Liam Neeson,Kingdom of Heaven ,Philip Glenister
Rob Minkoff,Nathan Lane,Chazz Palminteri,Stuart Little ,Jeffrey Jones
Ron Clements,Jenifer Lewis,Oprah Winfrey,The Princess and the Frog ,Anika Noni Rose
Ridley Scott,Donald Glover,Matt Damon,The Martian ,Benedict Wong
Christopher Barnard,,Mathew Buck,"10,000 B.C.             ",
Michael Bay,Steve Buscemi,Scarlett Johansson,The Island ,Djimon Hounsou
Peter Chelsom,Warren Beatty,Del Zamora,Town & Country ,Garry Shandling
Dominic Sena,Angelina Jolie Pitt,Nicolas Cage,Gone in Sixty Seconds ,Robert Duvall
Ridley Scott,Connie Nielsen,Djimon Hounsou,Gladiator ,Oliver Reed
Steven Spielberg,Frank Grillo,Tom Cruise,Minority Report ,Jessica Capshaw
Chris Columbus,Rupert Grint,Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,Emma Watson
Martin Campbell,Tobias Menzies,Eva Green,Casino Royale ,Ivana Milicevic
Tim Burton,Estella Warren,Cary-Hiroyuki Tagawa,Planet of the Apes ,Erick Avari
James Cameron,Jenette Goldstein,Joe Morton,Terminator 2: Judgment Day ,S. Epatha Merkerson
Michael Mann,Christian Bale,Johnny Depp,Public Enemies ,Stephen Graham
Ridley Scott,Ruby Dee,Denzel Washington,American Gangster ,RZA
James Cameron,Tia Carrere,Jamie Lee Curtis,True Lies ,Tom Arnold
Tony Scott,Ramon Rodriguez,Denzel Washington,The Taking of Pelham 1 2 3 ,Michael Rispoli
Paul Weitz,Blythe Danner,Robert De Niro,Little Fockers ,Teri Polo
Adam McKay,Will Ferrell,Dwayne Johnson,The Other Guys ,Derek Jeter
Chuck Russell,James Coburn,Vanessa Williams,Eraser ,Roma Maffia
Quentin Tarantino,Christoph Waltz,Leonardo DiCaprio,Django Unchained ,Ato Essandoh
Gary Trousdale,Jason Alexander,Demi Moore,The Hunchback of Notre Dame ,Bill Fagerbakke
Mark Dindal,Wendie Malick,Eartha Kitt,The Emperor's New Groove ,John Fiedler
Simon West,Sylvester Stallone,Jason Statham,The Expendables 2 ,Bruce Willis
Jon Turteltaub,Armando Riesco,Nicolas Cage,National Treasure ,Annie Parisse
Stefen Fangmeier,Ed Speleers,Djimon Hounsou,Eragon ,Gary Lewis
Spike Jonze,Ryan Corr,Catherine O'Hara,Where the Wild Things Are ,Max Records
Joe Wright,Cara Delevingne,Hugh Jackman,Pan ,Nonso Anozie
Chris Wedge,Emma Kenney,Josh Hutcherson,Epic ,Troy Evans
Florian Henckel von Donnersmarck,Angelina Jolie Pitt,Johnny Depp,The Tourist ,Rufus Sewell
Peter Hyams,Mark Margolis,CCH Pounder,End of Days ,Udo Kier
Edward Zwick,Djimon Hounsou,Leonardo DiCaprio,Blood Diamond ,Stephen Collins
Martin Scorsese,Matthew McConaughey,Leonardo DiCaprio,The Wolf of Wall Street ,Jon Favreau
Joel Schumacher,Rene Auberjonois,Michael Gough,Batman Forever ,Debi Mazar
